"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_rate","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07XX87R29","X002BC0MTF","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AKC1","US","6.77","4.29","2.05","inches","0.37","pounds","0.0345","cubic feet","Standard-Size","6.2","0.0","0.2136","2022-11","2.4","USD","0.5127","--","N","N","0.0","--","0.0"
"B07Y2C5KM3","X002BGVME5","365Home 3-Pack Silver Hammer Keychain Bronze Glove Keychain Silver Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","5.08","3.31","0.94","inches","0.28","pounds","0.0092","cubic feet","Standard-Size","1.0","0.0","0.0092","2022-11","2.4","USD","0.022","--","N","N","0.0","--","0.0"
"B07Y8CDXX7","X002BMAK6F","365Home 3-Pack Bronze Glove Keychain Silver Hammer Keychain Red Glove Keychain, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","5.16","4.65","1.22","inches","0.04","pounds","0.0169","cubic feet","Standard-Size","0.53","0.0","0.009","2022-11","2.4","USD","0.0217","--","N","N","0.0","--","0.0"
"B07Y8B8RF8","X002BMBDKR","365Home 2-Pack Glove Keychain, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","5.5","1.7","1.6","inches","0.31","pounds","0.0087","cubic feet","Standard-Size","0.17","0.0","0.0012","2022-11","2.4","USD","0.0028","--","N","N","0.0","--","0.03"
"B07Y8DR1KJ","X002BMC33N","365Home 3-Pack Silver Axe Keychain Red Glove Keychain Silver Hammer Keychain, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","5.31","3.86","1.14","inches","0.3","pounds","0.0135","cubic feet","Standard-Size","4.0","0.0","0.0542","2022-11","2.4","USD","0.1301","--","N","N","0.0","--","0.0"
"B07Z779DMH","X002CII6L9","365Home Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Red Copper)","AKC1","US","3.0","2.0","1.0","inches","0.1","pounds","0.0035","cubic feet","Standard-Size","5.43","0.0","0.0188","2022-11","2.4","USD","0.045","--","N","N","0.0","--","0.03"
"B085L7PY6Z","X002HF85EP","365Home Metal Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend (Silver)","AKC1","US","3.15","1.89","1.02","inches","0.2","pounds","0.0035","cubic feet","Standard-Size","1.97","0.0","0.0067","2022-11","2.4","USD","0.016","--","N","N","0.0","--","0.07"
"B08CXG45F4","X002L0EXYR","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","5.7","4.6","1.0","inches","0.17","pounds","0.0152","cubic feet","Standard-Size","0.4","0.0","0.0061","2022-11","2.4","USD","0.0146","--","N","N","0.0","--","0.0"
"B08HWTY667","X002NAFPDX","Nidavellir Shield Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver)","AKC1","US","2.0","2.0","0.4","inches","0.05","pounds","9.0E-4","cubic feet","Standard-Size","0.53","0.0","5.0E-4","2022-11","2.4","USD","0.0011","--","N","N","0.0","--","0.03"
"B08HWTQCLL","X002NATMU5","Nidavellir Shield Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Bronze)","AKC1","US","2.28","1.73","0.55","inches","0.04","pounds","0.0013","cubic feet","Standard-Size","0.4","0.0","5.0E-4","2022-11","2.4","USD","0.0012","--","N","N","0.0","--","0.0"
